id,text,date,category,source
CF063,サポートチケットの回答が定型文の貼り付けばかりで、問題の本質を理解してもらえていない感じがします。もっと個別の状況に応じた回答を期待します。,2025-06-12,サポート対応,問い合わせフォーム
CF064,新しいワークフロー自動化機能で、承認プロセスが効率化されました。以前はメールで回していた承認が、システム上で完結するようになり時間短縮です。,2025-06-15,製品品質,メールアンケート
CF065,料金の為替変動による影響が大きいです。ドル建て請求のため、円安の時に突然コストが跳ね上がります。円建て請求のオプションを用意してほしいです。,2025-06-18,料金・契約,問い合わせフォーム
CF066,操作ログから不正アクセスの兆候を検知するアラート機能が追加されたのは心強いです。セキュリティインシデントの早期発見に役立っています。,2025-06-20,セキュリティ,メールアンケート
CF067,エクスポートしたPDFの文字化けが頻繁に発生します。特に日本語と英語が混在するドキュメントで問題が顕著です。文字コードの処理を見直してください。,2025-06-22,製品品質,問い合わせフォーム
CF068,カスタマーサクセスチームの定期ミーティングで、活用方法のアドバイスをもらえるのがありがたいです。我々が気づかなかった使い方を教えてもらい、ROIが向上しました。,2025-06-25,サポート対応,メールアンケート
CF069,データセンターの所在地が海外のみなのが気になります。日本国内にもデータセンターを設置してもらえると、レイテンシの改善とデータ主権の観点から安心です。,2025-06-28,セキュリティ,問い合わせフォーム
CF070,ダークモードの実装ありがとうございます！長時間の作業でも目が疲れにくくなりました。カラーテーマのカスタマイズもできると嬉しいです。,2025-07-01,製品品質,アプリレビュー
CF071,先月の大規模障害でデータが一部消失したとの報告を受け、非常に不安を感じています。障害報告の詳細と再発防止策を早急に開示してください。,2025-07-03,システム障害,問い合わせフォーム
CF072,機能が多すぎて使いこなせていない気がします。よく使う機能だけを表示するシンプルモードのようなものがあると、初心者にも優しいと思います。,2025-07-05,製品品質,メールアンケート
CF073,お客様感謝デーのキャンペーンで無料トレーニングを提供してくれたのは嬉しかったです。こういったイベントをもっと頻繁に開催してほしいです。,2025-07-08,サービス,メールアンケート
CF074,API制限の上限に頻繁に到達してしまいます。レートリミットの引き上げか、バースト対応のオプションを検討してください。,2025-07-10,製品品質,問い合わせフォーム
CF075,競合製品から乗り換えましたが、インテグレーション機能の豊富さに驚いています。Slack、Teams、Salesforceとの連携がシームレスです。,2025-07-12,製品品質,メールアンケート
CF076,利用規約が突然変更されたのに、通知がメールの小さなフッターにしか書かれていませんでした。重要な変更はもっと目立つ形で通知すべきです。,2025-07-15,料金・契約,SNS
CF077,管理画面の操作でうっかりデータを削除してしまいました。確認ダイアログが1回だけで、重要な操作なのに軽すぎます。二重確認やアンドゥ機能の実装を求めます。,2025-07-18,製品品質,問い合わせフォーム
CF078,マルチテナント環境でのデータ分離が適切に行われていることを監査で確認しました。コンプライアンス要件を満たしており安心して利用できます。,2025-07-20,セキュリティ,メールアンケート
CF079,レポート機能のPDFエクスポートで日本語フォントが正しく表示されません。既知の問題とのことですが、いつ修正される予定ですか。,2025-07-22,製品品質,問い合わせフォーム
CF080,サポートへの問い合わせに対して、想定外に丁寧で詳しい回答をいただきました。技術的な背景まで説明してくれて、根本原因の理解に役立ちました。,2025-07-25,サポート対応,電話後アンケート
CF081,テスト環境と本番環境を分離できる機能が追加されたのは開発チームとして非常に助かります。安全にテストを行えるようになりました。,2025-07-28,製品品質,メールアンケート
CF082,価格改定の通知が契約更新の1週間前でした。予算の確保が間に合わず、更新を見送らざるを得ませんでした。最低でも3ヶ月前に通知してほしい。,2025-08-01,料金・契約,問い合わせフォーム
CF083,データ可視化のチャートがインタラクティブになり、ドリルダウン分析ができるようになりました。データの深掘りが直感的で、非技術者にも好評です。,2025-08-03,製品品質,メールアンケート
CF084,FAQページの情報が古くて参考になりません。現行バージョンに合わせて更新してください。検索しても関連性の低い記事ばかり出てきます。,2025-08-05,ドキュメント,問い合わせフォーム
CF085,新機能の通知ポップアップがうるさいです。既に確認済みの情報が何度も表示されるのは煩わしいです。「今後表示しない」オプションを追加してください。,2025-08-08,製品品質,アプリレビュー
CF086,全社ライセンスを導入してから1年が経ちますが、チーム全体の生産性が確実に向上しました。年間ROIは投資額の3倍以上と試算しています。,2025-08-10,料金・契約,メールアンケート
CF087,データのインポート・エクスポートのスケジュール設定ができるようになり、毎朝の定型業務が自動化されました。地味ですが非常にインパクトのある改善です。,2025-08-12,製品品質,メールアンケート
CF088,同業他社の方から聞いた話では、御社のセキュリティ対策が業界随一とのこと。SOC2 Type IIの認証取得も信頼の裏付けになっています。,2025-08-15,セキュリティ,メールアンケート
CF089,トライアル期間が14日では短すぎます。大企業の意思決定には通常1-2ヶ月かかります。30日間のトライアルに延長してもらえないでしょうか。,2025-08-18,料金・契約,問い合わせフォーム
CF090,モバイルアプリでのグラフ表示が小さすぎて、ピンチズームしないと数値が読めません。タブレット表示への最適化をお願いします。,2025-08-20,製品品質,アプリレビュー
CF091,毎月届くニュースレターの製品活用ティップスが参考になります。特に「こんな使い方もできる」のコーナーで新しい発見があります。,2025-08-22,サービス,メールアンケート
CF092,海外拠点からのアクセスが遅いことがあります。CDNの配置を見直してほしいです。特にアジア太平洋地域のレスポンスが改善されると嬉しいです。,2025-08-25,製品品質,問い合わせフォーム
CF093,権限のないユーザーが他部署のデータにアクセスできてしまうバグを発見しました。すぐに修正されましたが、このようなセキュリティホールは致命的です。,2025-08-28,セキュリティ,問い合わせフォーム
CF094,自然言語処理の精度向上が実感できます。以前は誤分類が多かったカテゴリも、最近は正確に分類されるようになりました。継続的な改善に感謝します。,2025-09-01,製品品質,メールアンケート
CF095,電話サポートの営業時間が平日9時-17時のみでは、業務中に電話する時間が取れません。少なくとも19時まで延長してもらえると助かります。,2025-09-03,サポート対応,問い合わせフォーム
CF096,ブラウザの互換性に問題があります。Chromeでは正常に動くのに、Safariでは一部のボタンが機能しません。クロスブラウザ対応をしっかりしてください。,2025-09-05,製品品質,問い合わせフォーム
CF097,環境設定のインポート・エクスポート機能のおかげで、新しいメンバーのセットアップが5分で完了するようになりました。オンボーディング効率が大幅にアップしました。,2025-09-08,製品品質,メールアンケート
CF098,サービスの信頼性には満足していますが、障害発生時のコミュニケーションが改善の余地ありです。ステータスページの更新頻度を上げてほしいです。,2025-09-10,システム障害,メールアンケート
CF099,新しいAIベースの異常検知機能がコスト削減に貢献しています。不正利用の早期発見で、月間の損失額が40%削減されました。,2025-09-12,製品品質,メールアンケート
CF100,来年の契約更新に向けて、マルチイヤー契約の割引プランがあれば検討したいです。3年契約で20%割引などがあると嬉しいです。,2025-09-15,料金・契約,問い合わせフォーム
